 Federal-gov; 10th; Divorced; United-States; White;41-80;4****; Not-in-family; Female; <=50K
 Federal-gov; 10th; Divorced; United-States; White;41-80;7****; Unmarried; Male; >50K
 Federal-gov; 10th; Married-civ-spouse; United-States; Amer-Indian-Eskimo;0-40;6****; Wife; Female; <=50K
 Federal-gov; 10th; Married-civ-spouse; United-States; White;41-80;****; Husband; Male; <=50K
 Federal-gov; 10th; Married-civ-spouse; United-States; White;41-80;7****; Husband; Male; >50K
 Federal-gov; 10th; Separated; United-States; White;41-80;3****; Not-in-family; Male; <=50K
 Federal-gov; 11th; Divorced; Canada; White;41-80;****; Not-in-family; Female; <=50K
 Federal-gov; 11th; Divorced; United-States; Black;41-80;2****; Not-in-family; Female; >50K
 Federal-gov; 11th; Never-married; Philippines; Asian-Pac-Islander;0-40;5****; Own-child; Male; <=50K
 Federal-gov; 11th; Never-married; United-States; Black;0-40;6****; Not-in-family; Female; >50K
 Federal-gov; 11th; Never-married; United-States; Black;41-80;4****; Not-in-family; Female; <=50K
 Federal-gov; 11th; Never-married; United-States; White;0-40;8****; Own-child; Male; <=50K
 Federal-gov; 11th; Never-married; United-States; White;41-80;1****; Not-in-family; Male; <=50K
 Federal-gov; 11th; Widowed; United-States; White;41-80;3****; Not-in-family; Female; <=50K
 Federal-gov; 11th; Widowed; United-States; White;41-80;7****; Not-in-family; Female; <=50K
 Federal-gov; 12th; Married-civ-spouse; United-States; White;0-40;8****; Husband; Male; <=50K
 Federal-gov; 12th; Married-civ-spouse; United-States; White;41-80;8****; Husband; Male; >50K
 Federal-gov; 12th; Never-married; United-States; Black;0-40;8****; Own-child; Male; <=50K
 Federal-gov; 12th; Never-married; United-States; Black;41-80;****; Unmarried; Female; <=50K
 Federal-gov; 12th; Never-married; United-States; White;0-40;****; Own-child; Female; <=50K
 Federal-gov; 5th-6th; Never-married; Mexico; White;0-40;2****; Not-in-family; Male; <=50K
 Federal-gov; 7th-8th; Married-spouse-absent; United-States; White;41-80;4****; Unmarried; Male; >50K
 Federal-gov; 7th-8th; Widowed; Puerto-Rico; White;41-80;8****; Unmarried; Female; >50K
 Federal-gov; 9th; Married-civ-spouse; United-States; Black;0-40;1****; Husband; Male; <=50K
 Federal-gov; 9th; Married-civ-spouse; United-States; White;0-40;3****; Husband; Male; >50K
 Federal-gov; 9th; Married-civ-spouse; United-States; White;0-40;8****; Husband; Male; >50K
 Federal-gov; Assoc-acdm; Divorced; Philippines; Asian-Pac-Islander;41-80;4****; Unmarried; Male; <=50K
 Federal-gov; Assoc-acdm; Divorced; Philippines; Asian-Pac-Islander;41-80;5****; Unmarried; Female; <=50K
 Federal-gov; Assoc-acdm; Divorced; United-States; Black;41-80;9****; Not-in-family; Female; >50K
 Federal-gov; Assoc-acdm; Divorced; United-States; White;0-40;4****; Not-in-family; Female; <=50K
 Federal-gov; Assoc-acdm; Divorced; United-States; White;0-40;4****; Unmarried; Male; <=50K
 Federal-gov; Assoc-acdm; Divorced; United-States; White;0-40;9****; Not-in-family; Male; <=50K
 Federal-gov; Assoc-acdm; Divorced; United-States; White;0-40;9****; Unmarried; Male; >50K
 Federal-gov; Assoc-acdm; Divorced; United-States; White;41-80;2****; Not-in-family; Female; <=50K
 Federal-gov; Assoc-acdm; Divorced; United-States; White;41-80;3****; Not-in-family; Female; <=50K
 Federal-gov; Assoc-acdm; Divorced; United-States; White;41-80;3****; Unmarried; Female; <=50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; El-Salvador; White;0-40;9****; Husband; Male; <=50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; Asian-Pac-Islander;0-40;1****; Husband; Male; <=50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; Asian-Pac-Islander;41-80;1****; Husband; Male; <=50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; Black;41-80;2****; Husband; Male; >50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; Black;41-80;3****; Husband; Male; <=50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; Black;41-80;5****; Husband; Male; <=50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; Black;41-80;6****; Wife; Female; <=50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; Black;41-80;8****; Husband; Male; <=50K
