-313129425,  State-gov, Bachelors, Never-married, United-States, White, 0<..<40, 1****, Not-in-family, Male, <=50K
-864173078,  Self-emp-not-inc, Bachelors, Married-civ-spouse, United-States, White, 40<..<80, 3****, Husband, Male, <=50K
-1494511370,  Private, HS-grad, Divorced, United-States, White, 0<..<40, 6****, Not-in-family, Male, <=50K
-817755177,  Private, 11th, Married-civ-spouse, United-States, Black, 40<..<80, 6****, Husband, Male, <=50K
-1864179401,  Private, Bachelors, Married-civ-spouse, Cuba, Black, 0<..<40, 6****, Wife, Female, <=50K
1906696343,  Private, Masters, Married-civ-spouse, United-States, White, 0<..<40, 1****, Wife, Female, <=50K
-1851550364,  Private, 9th, Married-spouse-absent, Jamaica, Black, 40<..<80, 2****, Not-in-family, Female, >50K
-1050337580,  Self-emp-not-inc, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, ****, Husband, Male, >50K
208939787,  Private, Masters, Never-married, United-States, White, 0<..<40, 6****, Not-in-family, Female, >50K
-1462583109,  Private, Bachelors, Married-civ-spouse, United-States, White, 40<..<80, 5****, Husband, Male, >50K
-1752815999,  Private, Some-college, Married-civ-spouse, United-States, Black, 0<..<40, 6****, Husband, Male, >50K
-1544139548,  State-gov, Bachelors, Married-civ-spouse, India, Asian-Pac-Islander, 0<..<40, 5****, Husband, Male, <=50K
-729098881,  Private, Bachelors, Never-married, United-States, White, 0<..<40, 6****, Own-child, Female, <=50K
-1257888760,  Private, Assoc-acdm, Never-married, United-States, Black, 0<..<40, 8****, Not-in-family, Male, >50K
-448487768,  Private, 7th-8th, Married-civ-spouse, Mexico, Amer-Indian-Eskimo, 0<..<40, ****, Husband, Male, <=50K
98641614,  Self-emp-not-inc, HS-grad, Never-married, United-States, White, 0<..<40, 7****, Own-child, Male, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 6****, Unmarried, Male, <=50K
737985,  Private, 11th, Married-civ-spouse, United-States, White, 0<..<40, 8****, Husband, Male, <=50K
940338559,  Self-emp-not-inc, Masters, Divorced, United-States, White, 40<..<80, 5****, Unmarried, Female, >50K
